<<<<<<<<<<

1. НУ      : Vпр = 120 км/ч , Hа = 200 м , САУ : стаб Углов, Vпр
   Задание : отработка САУ перехода по Hа : 200м --> 600м

Thu Apr 05 14:13:48 2018
  iSOK Time_SPNM     xrK     xrT    rddr    aShG    ShNV     Ha       V      Vpr      Vy     kur        gam        tng        psi        tet        alf      bet     snos       wx       wy       wz      ax1      ay1      az1      Pst         q       Gp      Tnv      Trv     fig         lag      SO HH:MM:SS:MS
     55  917.780   13.65  -43.17   13.17   28.87    9.22   200.01  120.58  119.39    0.00    1.29278    0.09869    1.68810  358.66249    0.00041    1.683    2.633    0.013   -0.000   -0.000   -0.001    0.290    9.801    0.005  742.153     68.7   9727.3   9682.5    354.9   42.6852110  39.9476008 0 00:15:17.780
     56  917.800   13.65  -43.17   13.17   28.87    9.22   200.01  120.58  119.39    0.00    1.29278    0.09869    1.68809  358.66248    0.00037    1.683    2.633    0.013   -0.000   -0.000   -0.001    0.290    9.801    0.005  742.153     68.7   9727.3   9682.5    354.9   42.6852171  39.9476010 0 00:15:17.800
     57  917.820   13.65  -43.17   13.17   28.87    9.22   200.01  120.58  119.39    0.00    1.29278    0.09869    1.68807  358.66248    0.00032    1.683    2.633    0.013   -0.000   -0.000   -0.001    0.290    9.801    0.005  742.153     68.7   9727.3   9682.5    354.9   42.6852231  39.9476012 0 00:15:17.820
     58  917.840   13.66  -43.17   13.17   28.87    9.22   200.01  120.58  119.39    0.00    1.29278    0.09869    1.68806  358.66247    0.00028    1.683    2.633    0.013   -0.000   -0.000   -0.001    0.290    9.801    0.005  742.153     68.7   9727.3   9682.4    354.9   42.6852291  39.9476014 0 00:15:17.840
     59  917.860   13.66  -43.17   13.17   28.87    9.22   200.01  120.58  119.39    0.00    1.29278    0.09869    1.68804  358.66246    0.00023    1.683    2.633    0.013   -0.000   -0.000   -0.001    0.290    9.801    0.005  742.153     68.7   9727.3   9682.4    354.9   42.6852351  39.9476015 0 00:15:17.860
     60  917.880   13.66  -43.17   13.17   28.87    9.22   200.01  120.58  119.39    0.00    1.29278    0.09869    1.68803  358.66246    0.00019    1.683    2.633    0.013   -0.000   -0.000   -0.001    0.290    9.801    0.005  742.153     68.7   9727.3   9682.4    354.9   42.6852412  39.9476017 0 00:15:17.880
     61  917.900   13.66  -43.17   13.17   28.87    9.22   200.01  120.58  119.39    0.00    1.29278    0.09868    1.68801  358.66245    0.00015    1.683    2.633    0.013   -0.000   -0.000   -0.001    0.290    9.801    0.005  742.153     68.7   9727.3   9682.5    354.9   42.6852472  39.9476019 0 00:15:17.900
     62  917.920   13.66  -43.17   13.17   28.87    9.22   200.01  120.58  119.39    0.00    1.29278    0.09868    1.68799  358.66245    0.00010    1.683    2.633    0.013   -0.000   -0.000   -0.001    0.290    9.801    0.005  742.153     68.7   9727.3   9682.5    354.9   42.6852532  39.9476021 0 00:15:17.920
     63  917.940   13.66  -43.17   13.17   28.87    9.22   200.01  120.58  119.39    0.00    1.29278    0.09868    1.68798  358.66244    0.00006    1.683    2.633    0.013   -0.000   -0.000   -0.001    0.290    9.801    0.005  742.153     68.7   9727.3   9682.4    354.9   42.6852592  39.9476023 0 00:15:17.940
     64  917.960   13.66  -43.17   13.17   28.87    9.22   200.01  120.58  119.39    0.00    1.29278    0.09868    1.68796  358.66244    0.00001    1.683    2.633    0.013   -0.000   -0.000   -0.001    0.290    9.801    0.005  742.153     68.7   9727.3   9682.4    354.9   42.6852653  39.9476025 0 00:15:17.960
     65  917.980   13.66  -43.17   13.17   28.87    9.22   200.01  120.58  119.39   -0.00    1.29277    0.09868    1.68794  358.66243   -0.00003    1.683    2.633    0.013   -0.000   -0.000   -0.001    0.290    9.801    0.005  742.153     68.7   9727.3   9682.4    354.9   42.6852713  39.9476027 0 00:15:17.980
     66  918.000   13.66  -43.17   13.17   28.87    9.22   200.01  120.58  119.39   -0.00    1.29277    0.09868    1.68792  358.66243   -0.00008    1.683    2.633    0.013   -0.000   -0.000   -0.001    0.290    9.801    0.005  742.153     68.7   9727.2   9682.4    354.9   42.6852773  39.9476029 0 00:15:18.000
     67  918.020   13.66  -43.17   13.17   28.87    9.22   200.01  120.58  119.39   -0.00    1.29277    0.09868    1.68791  358.66242   -0.00012    1.683    2.633    0.013   -0.000   -0.000   -0.001    0.290    9.801    0.005  742.153     68.7   9727.2   9682.4    354.9   42.6852833  39.9476031 0 00:15:18.020
     68  918.040   13.66  -43.17   13.17   28.87    9.22   200.01  120.58  119.39   -0.00    1.29277    0.09867    1.68789  358.66242   -0.00017    1.684    2.633    0.013   -0.000   -0.000   -0.001    0.290    9.801    0.005  742.153     68.7   9727.2   9682.4    354.9   42.6852894  39.9476033 0 00:15:18.040
     69  918.060   13.66  -43.17   13.17   28.87    9.22   200.01  120.58  119.39   -0.00    1.29277    0.09867    1.68787  358.66241   -0.00021    1.684    2.633    0.013   -0.000   -0.000   -0.001    0.290    9.801    0.005  742.153     68.7   9727.2   9682.4    354.9   42.6852954  39.9476035 0 00:15:18.060
